ID	forum	title
72	https://openreview.net/forum?id=Q66hINx9fA	Your Autoregressive Model Already Reveals the Causal Graph
73	https://openreview.net/forum?id=Q60o9DsJgw	On the Difficulty of Feature Unlearning in Tabular Diffusion Models
74	https://openreview.net/forum?id=cNMqROb62w	Boosting Inference with Guided Reasoning: Stochastic Exploration for Recursive Models
75	https://openreview.net/forum?id=etV2biyPA6	FairOpt-PFN: Amortized Counterfactual Fairness with Optimal Fair Targets
76	https://openreview.net/forum?id=LHwa2TCan6	Structuring The Future: Diffusion LLM Speculative Decoding via Calibrated Draft Graphs
77	https://openreview.net/forum?id=cKJMFldntg	WarmPrior: Straightening Flow-Matching Policies with Temporal Priors
78	https://openreview.net/forum?id=9d4AhuXMQz	Generalised Latent Slice Sampling
79	https://openreview.net/forum?id=sFt0gCGcnb	Solving Integer Linear Programming with Parallel Tempering
82	https://openreview.net/forum?id=97dB4GrUzx	Time-Annealed Perturbation Sampling: Diverse Generation for Diffusion Language Models
83	https://openreview.net/forum?id=EDNYRbCqtM	Learning Adapter Rank via Symmetry Breaking
85	https://openreview.net/forum?id=xn44anWfcW	Flow Map Denoisers: Traversing the Distortion-Perception Plane for Inverse Problems
86	https://openreview.net/forum?id=yjmAIwXvCj	Fixed-Point Distillation of Flow Matching Models
87	https://openreview.net/forum?id=t7lLXn707V	How Deep Are Deep GPs, Really? A Sharp Threshold and a Non-Gaussian Limit for Compositional GPs
88	https://openreview.net/forum?id=JSCR67et6H	Reconsidering Positional Supervision in Masked Diffusion Language Model Training
89	https://openreview.net/forum?id=sYdDAD63XQ	Reweighted ALPS: Non-Asymptotic Guarantees for Multimodal Sampling with Warm Starts
90	https://openreview.net/forum?id=ciw2T50E3O	End-to-End Identifiable and Consistent Recurrent Switching Dynamical Systems
91	https://openreview.net/forum?id=UoHjQf0umi	On Calibration of Modern Language Models
92	https://openreview.net/forum?id=YMihc7VMMn	Analytic interdomain memory for efficient online HiPPO-SVGP
93	https://openreview.net/forum?id=axHw4RcwIU	Structured Coupling for Flow Matching
94	https://openreview.net/forum?id=ps2NvoNKo3	Deep Generative Models for Phylogenetic Inference with Complex Evolutionary Processes
95	https://openreview.net/forum?id=87TmBrdVBN	End-to-End Context Compression at Scale
96	https://openreview.net/forum?id=3uJmSLzG5t	Prior-Informed Flow Matching for Graph Reconstruction
97	https://openreview.net/forum?id=pbuCdaBtC8	Learning Manifold Data with Flow Matching
98	https://openreview.net/forum?id=HR70n1Pv5A	Isokinetic Flow Matching for Pathwise Straightening
100	https://openreview.net/forum?id=2zB9KnFFDR	DODO: Discrete OCR Diffusion Models
101	https://openreview.net/forum?id=qV6NvNOujP	Variance Reduction for Expectations with Diffusion Teachers
102	https://openreview.net/forum?id=ysjYoJNK8C	Limit Order Book Forecasting with Conditional Diffusion Models
103	https://openreview.net/forum?id=HIMiqnTqLD	Re-evaluating Confidence Remasking in Masked Diffusion Language Models
104	https://openreview.net/forum?id=BKpsDmhO1d	Uniform Diffusion Models Revisited: Leave-One-Out Denoiser and Absorbing State Reformulation
105	https://openreview.net/forum?id=s1FLQoC1YT	Scalable Deep Basis Kernel Gaussian Processes
108	https://openreview.net/forum?id=P12PVScOvf	Anchoring Aleatoric Uncertainty: A Four-Term Decomposition of Predictive Risk at the Bayes-Optimal Predictor
109	https://openreview.net/forum?id=t3tu6CI3fG	Language Models Need Sleep
111	https://openreview.net/forum?id=EP5ChVLASx	Pi-E-Flow: Uncertainty-Guided Flow Distillation for Autoregressive Video Generation
112	https://openreview.net/forum?id=JySe7ksgBb	Savitar: Curve-Aware Interaction-Structured Kernels for Low-Budget Bayesian Optimization in Rare-Winner Combinatorial Spaces
113	https://openreview.net/forum?id=USxyeAWlcn	MIRROR: Multisensory Implicit Rejection-sampled RObotic policy
115	https://openreview.net/forum?id=v2DbAIl7sf	DELTA-TTS: Adapting Autoregressive Model into a Diffusion Language Model for Text-to-Speech
116	https://openreview.net/forum?id=kyuyyi53xL	Fixed-Point Masked Generative Modeling
